serverguid                           ,guid                                 ,oscaption                                ,osversion  ,osarchitecture ,corr_sim_hash ,corr_sim_hash_without_apps ,corr_fuzzy_hash ,corr_fuzzy_hash_without_apps ,apps
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,18785409-eb5e-45b0-b4c9-77910124c1f0 ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     1.0      ,                       1.0 ,            100 ,                         100 ,AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Google Chrome|Google Chrome|Google LLC|StellarProtect|StellarProtect|TXOne|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,bcbe00d2-f681-4f22-962c-5fab7aa9dfe2 ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     0.90625  ,                       1.0 ,             91 ,                         100 ,AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|StellarProtect|StellarProtect|TXOne|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,da452a40-cbe6-45c5-b8dc-38cfe1356056 ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     0.859375 ,                       1.0 ,             83 ,                         100 ,7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|StellarProtect|StellarProtect|TXOne|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,d12c15b2-ca90-4cff-8381-8248df81f4bb ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     0.796875 ,                       1.0 ,             82 ,                         100 ,AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|StellarProtect|StellarProtect|TXOne|WinRAR 6.11 (64-Bit)|WinRAR 6.11 (64-Bit)|win.rar GmbH|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,3d19822b-003b-4e73-808b-7048d8153662 ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     0.78125  ,                       1.0 ,             77 ,                         100 ,AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Mozilla Firefox (x64 en-US)|Mozilla Firefox (x64 en-US)|Mozilla|StellarProtect|StellarProtect|TXOne|WinRAR 6.11 (64-Bit)|WinRAR 6.11 (64-Bit)|win.rar GmbH|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,66b92d75-1b2e-4cd0-aa04-b13a99c27c25 ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     0.78125  ,                       1.0 ,             77 ,                         100 ,AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Mozilla Firefox (x64 en-US)|Mozilla Firefox (x64 en-US)|Mozilla|StellarProtect|StellarProtect|TXOne|WinRAR 6.11 (64-Bit)|WinRAR 6.11 (64-Bit)|win.rar GmbH|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,d72b10bc-af80-4101-a048-cd1be8e40a1d ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     0.78125  ,                       1.0 ,             77 ,                         100 ,AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Mozilla Firefox (x64 en-US)|Mozilla Firefox (x64 en-US)|Mozilla|StellarProtect|StellarProtect|TXOne|WinRAR 6.11 (64-Bit)|WinRAR 6.11 (64-Bit)|win.rar GmbH|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,a22d3a46-eb95-42e5-8d2d-a2a3e5bcc3ec ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     0.625    ,                       1.0 ,              0 ,                         100 ,7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|Python 3.11.2 Add to Path (64-bit)|Python 3.11.2 Add to Path (64-bit)|Python Software Foundation|Python 3.11.2 Core Interpreter (64-bit)|Python 3.11.2 Core Interpreter (64-bit)|Python Software Foundation|Python 3.11.2 Development Libraries (64-bit)|Python 3.11.2 Development Libraries (64-bit)|Python Software Foundation|Python 3.11.2 Documentation (64-bit)|Python 3.11.2 Documentation (64-bit)|Python Software Foundation|Python 3.11.2 Executables (64-bit)|Python 3.11.2 Executables (64-bit)|Python Software Foundation|Python 3.11.2 Standard Library (64-bit)|Python 3.11.2 Standard Library (64-bit)|Python Software Foundation|Python 3.11.2 Tcl/Tk Support (64-bit)|Python 3.11.2 Tcl/Tk Support (64-bit)|Python Software Foundation|Python 3.11.2 Test Suite (64-bit)|Python 3.11.2 Test Suite (64-bit)|Python Software Foundation|Python 3.11.2 Utility Scripts (64-bit)|Python 3.11.2 Utility Scripts (64-bit)|Python Software Foundation|Python 3.11.2 pip Bootstrap (64-bit)|Python 3.11.2 pip Bootstrap (64-bit)|Python Software Foundation|Python Launcher|Python Launcher|Python Software Foundation|StellarProtect|StellarProtect|TXOne|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,ebabfe83-57ed-4ada-a6dd-3e700c5b9d94 ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     0.578125 ,                       1.0 ,              0 ,                         100 ,7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Microsoft Edge|Microsoft Edge|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Corporation|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Mozilla Maintenance Service|Mozilla Maintenance Service|Mozilla|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|Python 3.11.2 Add to Path (64-bit)|Python 3.11.2 Add to Path (64-bit)|Python Software Foundation|Python 3.11.2 Core Interpreter (64-bit)|Python 3.11.2 Core Interpreter (64-bit)|Python Software Foundation|Python 3.11.2 Development Libraries (64-bit)|Python 3.11.2 Development Libraries (64-bit)|Python Software Foundation|Python 3.11.2 Documentation (64-bit)|Python 3.11.2 Documentation (64-bit)|Python Software Foundation|Python 3.11.2 Executables (64-bit)|Python 3.11.2 Executables (64-bit)|Python Software Foundation|Python 3.11.2 Standard Library (64-bit)|Python 3.11.2 Standard Library (64-bit)|Python Software Foundation|Python 3.11.2 Tcl/Tk Support (64-bit)|Python 3.11.2 Tcl/Tk Support (64-bit)|Python Software Foundation|Python 3.11.2 Test Suite (64-bit)|Python 3.11.2 Test Suite (64-bit)|Python Software Foundation|Python 3.11.2 Utility Scripts (64-bit)|Python 3.11.2 Utility Scripts (64-bit)|Python Software Foundation|Python 3.11.2 pip Bootstrap (64-bit)|Python 3.11.2 pip Bootstrap (64-bit)|Python Software Foundation|Python Launcher|Python Launcher|Python Software Foundation|TXOne StellarProtect (Legacy Mode)|TXOne StellarProtect (Legacy Mode)|TXOne Networks Inc.|Trend Micro Deep Security Agent|Trend Micro Deep Security Agent|Trend Micro Inc.|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,4b34187d-9ba8-445f-af21-976464a68b52 ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     0.5625   ,                       1.0 ,              0 ,                         100 ,7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Microsoft Edge|Microsoft Edge|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Corporation|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Mozilla Maintenance Service|Mozilla Maintenance Service|Mozilla|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|Python 3.11.2 Add to Path (64-bit)|Python 3.11.2 Add to Path (64-bit)|Python Software Foundation|Python 3.11.2 Core Interpreter (64-bit)|Python 3.11.2 Core Interpreter (64-bit)|Python Software Foundation|Python 3.11.2 Development Libraries (64-bit)|Python 3.11.2 Development Libraries (64-bit)|Python Software Foundation|Python 3.11.2 Documentation (64-bit)|Python 3.11.2 Documentation (64-bit)|Python Software Foundation|Python 3.11.2 Executables (64-bit)|Python 3.11.2 Executables (64-bit)|Python Software Foundation|Python 3.11.2 Standard Library (64-bit)|Python 3.11.2 Standard Library (64-bit)|Python Software Foundation|Python 3.11.2 Tcl/Tk Support (64-bit)|Python 3.11.2 Tcl/Tk Support (64-bit)|Python Software Foundation|Python 3.11.2 Test Suite (64-bit)|Python 3.11.2 Test Suite (64-bit)|Python Software Foundation|Python 3.11.2 Utility Scripts (64-bit)|Python 3.11.2 Utility Scripts (64-bit)|Python Software Foundation|Python 3.11.2 pip Bootstrap (64-bit)|Python 3.11.2 pip Bootstrap (64-bit)|Python Software Foundation|Python Launcher|Python Launcher|Python Software Foundation|TXOne StellarProtect (Legacy Mode)|TXOne StellarProtect (Legacy Mode)|TXOne Networks Inc.|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,51586d5a-933e-47c2-9636-8eb95c07d087 ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     0.5625   ,                       1.0 ,              0 ,                         100 ,7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Microsoft Edge|Microsoft Edge|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Corporation|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Mozilla Maintenance Service|Mozilla Maintenance Service|Mozilla|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|Python 3.11.2 Add to Path (64-bit)|Python 3.11.2 Add to Path (64-bit)|Python Software Foundation|Python 3.11.2 Core Interpreter (64-bit)|Python 3.11.2 Core Interpreter (64-bit)|Python Software Foundation|Python 3.11.2 Development Libraries (64-bit)|Python 3.11.2 Development Libraries (64-bit)|Python Software Foundation|Python 3.11.2 Documentation (64-bit)|Python 3.11.2 Documentation (64-bit)|Python Software Foundation|Python 3.11.2 Executables (64-bit)|Python 3.11.2 Executables (64-bit)|Python Software Foundation|Python 3.11.2 Standard Library (64-bit)|Python 3.11.2 Standard Library (64-bit)|Python Software Foundation|Python 3.11.2 Tcl/Tk Support (64-bit)|Python 3.11.2 Tcl/Tk Support (64-bit)|Python Software Foundation|Python 3.11.2 Test Suite (64-bit)|Python 3.11.2 Test Suite (64-bit)|Python Software Foundation|Python 3.11.2 Utility Scripts (64-bit)|Python 3.11.2 Utility Scripts (64-bit)|Python Software Foundation|Python 3.11.2 pip Bootstrap (64-bit)|Python 3.11.2 pip Bootstrap (64-bit)|Python Software Foundation|Python Launcher|Python Launcher|Python Software Foundation|TXOne StellarProtect (Legacy Mode)|TXOne StellarProtect (Legacy Mode)|TXOne Networks Inc.|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
1a0e9d4c-7629-11ed-927f-0aa0580c4afa ,df4bb45c-7d44-4bb7-9160-5e979412d91f ,Microsoft Windows Server 2022 Datacenter ,10.0.20348 ,64-bit         ,     0.53125  ,                       1.0 ,              0 ,                         100 ,7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Microsoft Edge|Microsoft Edge|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Corporation|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|TXOne StellarProtect (Legacy Mode)|TXOne StellarProtect (Legacy Mode)|TXOne Networks Inc.|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services
