serverguid,guid,cpuname,oscaption,osversion,cpucaption,osarchitecture,cpuarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,18785409-eb5e-45b0-b4c9-77910124c1f0,,Microsoft Windows Server 2022 Datacenter,10.0.20348,,64-bit,,aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|StellarProtect|StellarProtect|TXOne|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Google Chrome|Google Chrome|Google LLC|AWS PV Drivers|AWS PV Drivers|Amazon Web Services,363a576a31444b526d6d642b2b57387877784530387877784544445072734d72564470534479305258523544654e69384e69355670557073443634615861717447373a5778444b416d512b574874486f45554e38564333676542716e4d4b4d3458,333a6b4f596a794d314b6541794641526d6d64774c5a64364b693a576a31444b526d6d642b2b6a
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,3d19822b-003b-4e73-808b-7048d8153662,,Microsoft Windows Server 2022 Datacenter,10.0.20348,,64-bit,,AWS PV Drivers|AWS PV Drivers|Amazon Web Services|Mozilla Firefox (x64 en-US)|Mozilla Firefox (x64 en-US)|Mozilla|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|StellarProtect|StellarProtect|TXOne|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|WinRAR 6.11 (64-Bit)|WinRAR 6.11 (64-Bit)|win.rar GmbH,31323a5778444b416d512b524d4b4d3468683942326d59484874486f45554e38533367713955343a57784471512b5262503142326d59484874486f5a365333677434,333a6b4f596a794d314b6541794641526d6d64774c5a64364b693a576a31444b526d6d642b2b6a
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,4b34187d-9ba8-445f-af21-976464a68b52,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Microsoft Windows Server 2022 Datacenter,10.0.20348,Intel64 Family 6 Model 79 Stepping 1,64-bit,9.0,Microsoft Edge|Microsoft Edge|Microsoft Corporation|Python 3.11.2 pip Bootstrap (64-bit)|Python 3.11.2 pip Bootstrap (64-bit)|Python Software Foundation|7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|Python 3.11.2 Documentation (64-bit)|Python 3.11.2 Documentation (64-bit)|Python Software Foundation|Python 3.11.2 Utility Scripts (64-bit)|Python 3.11.2 Utility Scripts (64-bit)|Python Software Foundation|Python 3.11.2 Standard Library (64-bit)|Python 3.11.2 Standard Library (64-bit)|Python Software Foundation|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Corporation|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|Python Launcher|Python Launcher|Python Software Foundation|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Python 3.11.2 Executables (64-bit)|Python 3.11.2 Executables (64-bit)|Python Software Foundation|TXOne StellarProtect (Legacy Mode)|TXOne StellarProtect (Legacy Mode)|TXOne Networks Inc.|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Corporation|Mozilla Maintenance Service|Mozilla Maintenance Service|Mozilla|Python 3.11.2 Test Suite (64-bit)|Python 3.11.2 Test Suite (64-bit)|Python Software Foundation|Python 3.11.2 Core Interpreter (64-bit)|Python 3.11.2 Core Interpreter (64-bit)|Python Software Foundation|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Python 3.11.2 Add to Path (64-bit)|Python 3.11.2 Add to Path (64-bit)|Python Software Foundation|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Corporation|Python 3.11.2 Tcl/Tk Support (64-bit)|Python 3.11.2 Tcl/Tk Support (64-bit)|Python Software Foundation|Python 3.11.2 Development Libraries (64-bit)|Python 3.11.2 Development Libraries (64-bit)|Python Software Foundation|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Corporation,34383a486543654d4d44686958695858666a77505058423236323658422f2f585a50594e50594e4470626c6868586267675873505438505438443550594a50594a44613a2b43654d4d446869586958583850505842353558422f2f585a674e674e445874,333a716b457069464377467152465437582b4d4f596a794d314b6541794641526d6d64717952466a614a634654462b46764632524a4c4654524939683a716b5046715246474d5a6a31444b526d6d6442525a745463324c464b3968
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,51586d5a-933e-47c2-9636-8eb95c07d087,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Microsoft Windows Server 2022 Datacenter,10.0.20348,Intel64 Family 6 Model 79 Stepping 1,64-bit,9.0,Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Python 3.11.2 Add to Path (64-bit)|Python 3.11.2 Add to Path (64-bit)|Python Software Foundation|Python 3.11.2 pip Bootstrap (64-bit)|Python 3.11.2 pip Bootstrap (64-bit)|Python Software Foundation|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|Python 3.11.2 Documentation (64-bit)|Python 3.11.2 Documentation (64-bit)|Python Software Foundation|Python 3.11.2 Utility Scripts (64-bit)|Python 3.11.2 Utility Scripts (64-bit)|Python Software Foundation|Python 3.11.2 Core Interpreter (64-bit)|Python 3.11.2 Core Interpreter (64-bit)|Python Software Foundation|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Corporation|Microsoft Edge|Microsoft Edge|Microsoft Corporation|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Python 3.11.2 Executables (64-bit)|Python 3.11.2 Executables (64-bit)|Python Software Foundation|TXOne StellarProtect (Legacy Mode)|TXOne StellarProtect (Legacy Mode)|TXOne Networks Inc.|Python 3.11.2 Tcl/Tk Support (64-bit)|Python 3.11.2 Tcl/Tk Support (64-bit)|Python Software Foundation|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|Python 3.11.2 Development Libraries (64-bit)|Python 3.11.2 Development Libraries (64-bit)|Python Software Foundation|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Corporation|7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|Python 3.11.2 Test Suite (64-bit)|Python 3.11.2 Test Suite (64-bit)|Python Software Foundation|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|Python Launcher|Python Launcher|Python Software Foundation|Mozilla Maintenance Service|Mozilla Maintenance Service|Mozilla|Python 3.11.2 Standard Library (64-bit)|Python 3.11.2 Standard Library (64-bit)|Python Software Foundation|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Corporation,34383a4865477976577657584269586958584f4e4f505058423236323658427777585a50594a50594a44354d4d44376767583244445877456a7755775577585a504a413a2b6e76577657584269586958585450505842353558427777585a674a674a442b,333a716b457069464377467152465437582b4d4f596a794d314b6541794641526d6d64717952466a614a634654462b46764632524a4c4654524939683a716b5046715246474d5a6a31444b526d6d6442525a745463324c464b3968
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,66b92d75-1b2e-4cd0-aa04-b13a99c27c25,,Microsoft Windows Server 2022 Datacenter,10.0.20348,,64-bit,,AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Mozilla Firefox (x64 en-US)|Mozilla Firefox (x64 en-US)|Mozilla|StellarProtect|StellarProtect|TXOne|WinRAR 6.11 (64-Bit)|WinRAR 6.11 (64-Bit)|win.rar GmbH,31323a5778444b416d512b67554e3856394d4b4d3459484874486f6f776868396b33583955343a57784471512b6c365639625059484874486f6f77316b333234,333a6b4f596a794d314b6541794641526d6d64774c5a64364b693a576a31444b526d6d642b2b6a
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,a22d3a46-eb95-42e5-8d2d-a2a3e5bcc3ec,,Microsoft Windows Server 2022 Datacenter,10.0.20348,,64-bit,,AWS PV Drivers|AWS PV Drivers|Amazon Web Services|7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Python 3.11.2 Add to Path (64-bit)|Python 3.11.2 Add to Path (64-bit)|Python Software Foundation|Python 3.11.2 Executables (64-bit)|Python 3.11.2 Executables (64-bit)|Python Software Foundation|Python 3.11.2 Utility Scripts (64-bit)|Python 3.11.2 Utility Scripts (64-bit)|Python Software Foundation|Python 3.11.2 Standard Library (64-bit)|Python 3.11.2 Standard Library (64-bit)|Python Software Foundation|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|Python 3.11.2 Test Suite (64-bit)|Python 3.11.2 Test Suite (64-bit)|Python Software Foundation|Python 3.11.2 pip Bootstrap (64-bit)|Python 3.11.2 pip Bootstrap (64-bit)|Python Software Foundation|Python 3.11.2 Development Libraries (64-bit)|Python 3.11.2 Development Libraries (64-bit)|Python Software Foundation|Python Launcher|Python Launcher|Python Software Foundation|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Python 3.11.2 Documentation (64-bit)|Python 3.11.2 Documentation (64-bit)|Python Software Foundation|Python 3.11.2 Core Interpreter (64-bit)|Python 3.11.2 Core Interpreter (64-bit)|Python Software Foundation|StellarProtect|StellarProtect|TXOne|Python 3.11.2 Tcl/Tk Support (64-bit)|Python 3.11.2 Tcl/Tk Support (64-bit)|Python Software Foundation,34383a572b52626c4e765776575842676758423236323658422f2f58796a774e4e584269586958584255775577584268685851484e68795050584277775857335744583a57794e76577657584267675842353558422f2f584a4e4e584269586958584276,333a6b4f596a794d314b6541794641526d6d64774c5a64364b693a576a31444b526d6d642b2b6a
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,bcbe00d2-f681-4f22-962c-5fab7aa9dfe2,,Microsoft Windows Server 2022 Datacenter,10.0.20348,,64-bit,,Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|StellarProtect|StellarProtect|TXOne|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations,363a576a31444b526d6d642b2b7a5258523544684d542b4d3444554838787778453038787778454444654e69384e69355670557073445072734d7256447053446e3a5778444b416d512b42394d4b4d3459484874486f43336745554e386e,333a6b4f596a794d314b6541794641526d6d64774c5a64364b693a576a31444b526d6d642b2b6a
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,d12c15b2-ca90-4cff-8381-8248df81f4bb,,Microsoft Windows Server 2022 Datacenter,10.0.20348,,64-bit,,Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|WinRAR 6.11 (64-Bit)|WinRAR 6.11 (64-Bit)|win.rar GmbH|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|StellarProtect|StellarProtect|TXOne|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services,363a576a31444b526d6d642b2b687055707344554838787778453038787778454444757864614d524b497864614d7843557a4d542b4d3444654e69384e69353772473a5778444b416d512b6e59484874486f713955674d4b4d34433346554e385658,333a6b4f596a794d314b6541794641526d6d64774c5a64364b693a576a31444b526d6d642b2b6a
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,d72b10bc-af80-4101-a048-cd1be8e40a1d,,Microsoft Windows Server 2022 Datacenter,10.0.20348,,64-bit,,AWS PV Drivers|AWS PV Drivers|Amazon Web Services|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|WinRAR 6.11 (64-Bit)|WinRAR 6.11 (64-Bit)|win.rar GmbH|Mozilla Firefox (x64 en-US)|Mozilla Firefox (x64 en-US)|Mozilla|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|StellarProtect|StellarProtect|TXOne,31323a5778444b416d512b524d4b4d3459484874486f7139554d6668394232496f4f45554e385333773a57784471512b52625059484874486f744d4c4232496f4f5a36533377,333a6b4f596a794d314b6541794641526d6d64774c5a64364b693a576a31444b526d6d642b2b6a
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,da452a40-cbe6-45c5-b8dc-38cfe1356056,,Microsoft Windows Server 2022 Datacenter,10.0.20348,,64-bit,,Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|StellarProtect|StellarProtect|TXOne|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov,31323a5778444b416d512b4259484874486f45554e38654d436579554d4b4d344333676159553a57784471512b4259484874486f5a3665617955625043336765,333a6b4f596a794d314b6541794641526d6d64774c5a64364b693a576a31444b526d6d642b2b6a
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,df4bb45c-7d44-4bb7-9160-5e979412d91f,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Microsoft Windows Server 2022 Datacenter,10.0.20348,Intel64 Family 6 Model 79 Stepping 1,64-bit,9.0,Microsoft Edge|Microsoft Edge|Microsoft Corporation|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|TXOne StellarProtect (Legacy Mode)|TXOne StellarProtect (Legacy Mode)|TXOne Networks Inc.|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Corporation|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Corporation|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services,34383a486543654d4d44754e54595068703150687031443550594e50594e443550594a50594a44545a504a7031504a703144355054385054384435507864385078644e3a2b43654d4d4475595a70315a70314435674e674e4435674a674a44545a52704d,333a716b457069464377467152465437582b4d4f596a794d314b6541794641526d6d64717952466a614a634654462b46764632524a4c4654524939683a716b5046715246474d5a6a31444b526d6d6442525a745463324c464b3968
1a0e9d4c-7629-11ed-927f-0aa0580c4afa,ebabfe83-57ed-4ada-a6dd-3e700c5b9d94,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,Microsoft Windows Server 2022 Datacenter,10.0.20348,Intel64 Family 6 Model 63 Stepping 2,64-bit,9.0,Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.30.30704|Microsoft Corporation|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.30.30704|Microsoft Corporation|Python 3.11.2 Core Interpreter (64-bit)|Python 3.11.2 Core Interpreter (64-bit)|Python Software Foundation|Python 3.11.2 Utility Scripts (64-bit)|Python 3.11.2 Utility Scripts (64-bit)|Python Software Foundation|Amazon EC2Launch|Amazon EC2Launch|Amazon Web Services|Amazon SSM Agent|Amazon SSM Agent|Amazon Web Services|aws-cfn-bootstrap|aws-cfn-bootstrap|Amazon Web Services|Python 3.11.2 Add to Path (64-bit)|Python 3.11.2 Add to Path (64-bit)|Python Software Foundation|TXOne StellarProtect (Legacy Mode)|TXOne StellarProtect (Legacy Mode)|TXOne Networks Inc.|Python 3.11.2 pip Bootstrap (64-bit)|Python 3.11.2 pip Bootstrap (64-bit)|Python Software Foundation|Mozilla Maintenance Service|Mozilla Maintenance Service|Mozilla|Python 3.11.2 Standard Library (64-bit)|Python 3.11.2 Standard Library (64-bit)|Python Software Foundation|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.30.30704|Microsoft Corporation|AWS PV Drivers|AWS PV Drivers|Amazon Web Services|Python 3.11.2 Executables (64-bit)|Python 3.11.2 Executables (64-bit)|Python Software Foundation|7-Zip 22.01 (x64)|7-Zip 22.01 (x64)|Igor Pavlov|Python 3.11.2 Tcl/Tk Support (64-bit)|Python 3.11.2 Tcl/Tk Support (64-bit)|Python Software Foundation|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|Trend Micro Deep Security Agent|Trend Micro Deep Security Agent|Trend Micro Inc.|AWS Tools for Windows|AWS Tools for Windows|Amazon Web Services Developer Relations|Python Launcher|Python Launcher|Python Software Foundation|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30704|Microsoft Corporation|Python 3.11.2 Documentation (64-bit)|Python 3.11.2 Documentation (64-bit)|Python Software Foundation|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.30.30704|Microsoft Corporation|Microsoft Edge|Microsoft Edge|Microsoft Corporation|Python 3.11.2 Test Suite (64-bit)|Python 3.11.2 Test Suite (64-bit)|Python Software Foundation|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Visual C++ 2022 X64 Additional Runtime - 14.30.30704|Microsoft Corporation|Mozilla Firefox (x64 de)|Mozilla Firefox (x64 de)|Mozilla|Python 3.11.2 Development Libraries (64-bit)|Python 3.11.2 Development Libraries (64-bit)|Python Software Foundation,34383a7a654e6550687031506870314435504a7031504a7031446877775842323632365879484e4f765776575832695869585838792f2f585a50594e50594e447062713a7a79655a70315a7031443552703152703144687777584235355879777657764b,333a716b45706946437746714161464e4b4c4f596a794d314b6541794641526d6d64717952466a614a634654462b465a5277564d4c53494864683a716b50467141616f5a6a31444b526d6d6442525a7454635a696d4c5349486468
